username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-18 13:20;2;8;". @ HowardKurtz on today's # MEDIABUZZMeter: •Trump pushing for new trial for Roger Stone •Warren saying media coverage of her is unfair •Stephen Miller wedding is a microcosm of relationships Click here to listen & subscribe: http://ow.ly/KpAE50ypCEs";;@;#;"1229832980404764673";https://twitter.com/foxnewsradio/status/1229832980404764673
;2020-02-18 11:30;1;5;". @ BernieSanders is in a good place to 'lock up' the nomination on # SuperTuesday, says @ TomBevanRCP ... He tells The # FoxNewsRundown why that could be bad news for Democrats. Listen & subscribe:https://www.foxnews.com/media/tom-bevan-bernie-sanders-win-democrats-catastrophic …";;@ @;# #;"1229805329321463810";https://twitter.com/foxnewsradio/status/1229805329321463810
;2020-02-18 11:10;1;2;"Bernie Sanders is rising in the latest Democratic presidential poll and Michael Bloomberg qualifies for tomorrow night's debate in Las Vegas. http://foxrad.io/5mincast";;;;"1229800275369742337";https://twitter.com/foxnewsradio/status/1229800275369742337
;2020-02-18 10:21;3;9;"President @ realDonaldTrump tweets if he wasn't President, he'd being suing everyone. http://foxrad.io/5mincast";;@;;"1229788002504904706";https://twitter.com/foxnewsradio/status/1229788002504904706
;2020-02-18 10:00;5;12;""no matter what was thrown at you, you [said] 'okay yep, I got this, I will figure this out.'” Fox News' own @ JacquiHeinrich &@tamaragitt detail their on-the-road coverage of the early voting states. Listen to the full discussion on The # FoxNewsRundown http://ow.ly/I3fM50yoOce pic.twitter.com/ryiZCPkvYP";;@ @tamaragitt;#;"1229782859004682241";https://twitter.com/foxnewsradio/status/1229782859004682241
;2020-02-18 09:10;5;5;"Michael Bloomberg becomes the sixth Democrat to qualify for tomorrow's presidential debate tomorrow in Las Vegas. http://foxrad.io/5mincast";;;;"1229770074862628864";https://twitter.com/foxnewsradio/status/1229770074862628864
;2020-02-18 09:00;0;1;"@ TomBevanRCP says @ MikeBloomberg 's latest controversies may only increase the resentment some Democrats feel toward the billionaire parachuting into the race. Listen to the full discussion on The # FoxNewsRundown http://ow.ly/uIOK50yoNX5 pic.twitter.com/ifZgtZKQen";;@ @;#;"1229767729051324420";https://twitter.com/foxnewsradio/status/1229767729051324420
;2020-02-18 08:10;24;96;"Michael Bloomberg leapfrogs Joe Biden into second place in a new national poll in the Democratic race for the White House. That poll also helps the former New York City Mayor qualify for tomorrow's debate in Nevada. http://foxrad.io/5mincast";;;;"1229754968535683072";https://twitter.com/foxnewsradio/status/1229754968535683072
;2020-02-18 08:00;1;17;"Fox News National Correspondent @ JacquiHeinrich has spent the start of the year on the 2020 campaign trail. Today on the # FoxNewsRundown, Heinrich and @ tamaragitt give an inside look at life on the road as they cover the presidential race. Listen: http://ow.ly/YbjH50yoOaW pic.twitter.com/G0Wbh7mWac";;@ @;#;"1229752598699429892";https://twitter.com/foxnewsradio/status/1229752598699429892
;2020-02-18 07:10;1;3;"Former New York City Mayor Michael Bloomberg qualifies for the next Democratic presidential debate tomorrow night in Nevada. http://foxrad.io/5mincast";;;;"1229739873755680770";https://twitter.com/foxnewsradio/status/1229739873755680770
;2020-02-18 07:00;2;11;"Could it be 1972 all over again for the Democrats? Today on The # FoxNewsRundown @ TomBevanRCP says @ SenSanders winning the nomination could be 'catastrophic' for the party and lead to a huge loss in November. Listen, subscribe and review. http://ow.ly/HBqZ50yoNVq pic.twitter.com/tKzfd3u7Nv";;@ @;#;"1229737563876941824";https://twitter.com/foxnewsradio/status/1229737563876941824
;2020-02-18 05:24;1;6;"Former New York Mayor Michael Bloomberg has qualified for Wednesday's Democratic debate in Nevada. http://ow.ly/LkFQ50yp6lk";;;;"1229713215891935232";https://twitter.com/foxnewsradio/status/1229713215891935232
;2020-02-18 01:03;8;14;"Boy Scouts of America files for bankruptcy protection after a barrage of sex abuse lawsuits. http://ow.ly/AHza50yoXRl";;;;"1229647693003227136";https://twitter.com/foxnewsradio/status/1229647693003227136
;2020-02-17 22:56;4;38;"NASCAR says Ryan Newman in serious condition with non-life-threatening injuries following a crash at the Daytona 500. http://foxrad.io/5mincast .";;;;"1229615687490031616";https://twitter.com/foxnewsradio/status/1229615687490031616
;2020-02-17 20:48;1;1;"FNC Contributor Donna Brazile: Moving Forward We Need To Get Rid Of Caucuses in the 2024 Nominating Process http://dlvr.it/RQDpXQ pic.twitter.com/UlGdW7ddaX";;;;"1229583321161551873";https://twitter.com/foxnewsradio/status/1229583321161551873
;2020-02-17 17:10;3;8;". @ HowardKurtz on a report saying Bloomberg will pick Hillary Clinton as running mate, President Trump wanting to kill NPR funding and Bernie looking for another good showing in Nevada. Click here to listen & subscribe:http://ow.ly/fnhI50yoCi0";;@;;"1229528484361515008";https://twitter.com/foxnewsradio/status/1229528484361515008
;2020-02-17 16:44;11;46;". @ KristinBTate says times have changed and Democrats are no longer the party of civil liberties. Listen to her full commentary on The # FoxNewsRundown http://ow.ly/Ymon50yoKJ2 pic.twitter.com/aqRLa312Yw";;@;#;"1229521922528104449";https://twitter.com/foxnewsradio/status/1229521922528104449
;2020-02-17 15:50;6;13;"Thirteen high risk coronavirus patients from a quarantined cruise ship in Japan were brought to the University of Nebraska Medical Center this morning. http://ow.ly/Qszi50yoItc";;;;"1229508350049685507";https://twitter.com/foxnewsradio/status/1229508350049685507
;2020-02-17 14:44;2;14;"Country Music Star John Rich On Working With Donald Trump Before He Was President http://dlvr.it/RQD3hf pic.twitter.com/9wNWgzZPal";;;;"1229491717474119681";https://twitter.com/foxnewsradio/status/1229491717474119681
;2020-02-17 14:38;4;23;"On today's # FoxNewsRundown ... Texas Congressman @ RepDanCrenshaw slams the Democrats over the War Powers Resolution. Listen to our full interview: http://ow.ly/LNpj50yoELE pic.twitter.com/TQAWdnAm9u";;@;#;"1229490238042583040";https://twitter.com/foxnewsradio/status/1229490238042583040
;2020-02-17 13:55;5;7;". @ HowardKurtz on today's # MEDIABUZZMeter: •Bloomberg getting hit over ‘sexist’ comments •Trump wants to kill NPR funding •Bernie continues to pick up moderate voters Click here to listen & subscribe: http://ow.ly/dtMu50yoCg0";;@;#;"1229479403220033545";https://twitter.com/foxnewsradio/status/1229479403220033545
;2020-02-17 11:45;3;6;". @ RepDanCrenshaw joins # TheFoxNewsRundown today to talk about why Republicans can’t afford to avoid the environmental crisis and explains his plan to create solutions. LISTEN:http://ow.ly/rbBd50ynNYX";;@;#;"1229446717822701569";https://twitter.com/foxnewsradio/status/1229446717822701569
;2020-02-17 11:10;1;5;"From a quarantine at sea to a quarantine on land for more 300 Americans because of the coronavirus. http://foxrad.io/5mincast";;;;"1229437884203139077";https://twitter.com/foxnewsradio/status/1229437884203139077
;2020-02-17 10:30;4;11;"A lot is riding on the next vote in the presidential race, the Nevada Caucuses, especially with the confusion in Iowa and a divided Democratic party. @ ChrisStirewalt joins today’s # FOXNewsRundown to discuss Listen on:http://ow.ly/suov50ynNYK";;@;#;"1229427913776340992";https://twitter.com/foxnewsradio/status/1229427913776340992
;2020-02-17 10:15;2;2;"Some of the cruise ship passengers in Japan are now patients in America. http://foxrad.io/5mincast";;;;"1229424053439561730";https://twitter.com/foxnewsradio/status/1229424053439561730
